Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Toni Ann Miano,BOS,D,2018-2019,2018,2019,1996,22,16,3,1,1,31,0,0,0,7.66,0.48
Tori Howran,CTW,NA,2020-2021,2020,2021,1998,22,3,1,1,1,5,0,0,0,3.06,1.02
Tori Sullivan,BOS,F,2019-2020,2019,2020,1996,23,24,11,8,6,62,12,13,4,27.65,1.15
Tori Sullivan,BOS,NA,2020-2021,2020,2021,1996,24,7,0,1,1,4,1,0,0,2.07,0.3
Vanessa Gagnon,CTW,F,2018-2019,2018,2019,1990,28,2,0,0,0,4,0,0,0,0.4,0.2
Whitney Dove,BUF,NA,2020-2021,2020,2021,1998,22,6,0,0,1,8,0,0,4,0.86,0.14
Whitney Renn,BOS,F|D,2019-2020,2019,2020,1996,23,20,0,0,0,14,0,0,0,1.4,0.07
Winny Brodt Brown,MIN,D,2019-2020,2019,2020,1978,41,20,0,1,4,6,1,3,5,3.17,0.16
Winny Brodt Brown,MIN,D,2018-2019,2018,2019,1978,40,13,0,0,1,6,0,0,0,1.26,0.1
Winny Brodt Brown,MIN,NA,2020-2021,2020,2021,1978,42,4,1,0,0,1,0,0,2,0.8,0.2
Yekaterina Smolentseva,CTW,F,2015-2016,2015,2016,1981,34,13,3,3,2,28,0,0,0,9.82,0.76
Zoe Hickel,BOS,F,2015-2016,2015,2016,1992,23,15,3,1,2,44,0,0,0,9.62,0.64
Zoe Hickel,CTW,F,2016-2017,2016,2017,1992,24,4,3,0,0,12,0,0,0,4.2,1.05
Zoe Hickel,BOS,F,2016-2017,2016,2017,1992,24,12,1,3,2,19,0,0,0,6.92,0.58
