Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Dominique Kremer,BUF,NA,2020-2021,2020,2021,1997,23,6,0,0,0,5,0,0,2,0.2,0.03
Dru Burns,BOS,D,2018-2019,2018,2019,1991,27,NA,0,0,0,0,0,0,0,0,NA
Elena Gualtieri,CTW,F,2019-2020,2019,2020,NA,NA,16,2,1,1,24,1,1,3,5.51,0.34
Elena Orlando,CTW,F|D,2016-2017,2016,2017,1992,24,12,0,0,0,4,0,0,0,0.4,0.03
Elena Orlando,CTW,NA,2020-2021,2020,2021,1992,28,4,0,0,2,2,0,1,1,1.26,0.32
Elena Orlando,CTW,D,2018-2019,2018,2019,1992,26,16,0,0,0,2,0,0,0,0.2,0.01
Elena Orlando,NYR,D,2015-2016,2015,2016,1992,23,17,0,1,0,7,0,0,0,1.6,0.09
Elena Orlando,CTW,D,2019-2020,2019,2020,1992,27,24,0,2,1,23,2,1,6,3.97,0.17
Elena Orlando,CTW,D,2017-2018,2017,2018,1992,25,16,0,0,1,10,0,0,0,1.66,0.1
Elizabeth Parker,BOS,D,2017-2018,2017,2018,1991,26,4,0,0,0,1,0,0,0,0.1,0.03
Emily Field,BOS,F,2018-2019,2018,2019,1993,25,15,2,2,1,20,0,0,0,6.46,0.43
Emily Field,BOS,F,2016-2017,2016,2017,1993,23,15,3,2,1,23,0,0,0,7.76,0.52
Emily Field,BOS,F,2017-2018,2017,2018,1993,24,16,5,3,4,37,0,0,0,14.04,0.88
Emily Field,BOS,F,2015-2016,2015,2016,1993,22,18,4,2,1,32,0,0,0,9.66,0.54
Emily Fluke,TOR,NA,2020-2021,2020,2021,1992,28,6,1,1,0,3,1,4,2,1.57,0.26
Emily Fluke,CTW,F,2018-2019,2018,2019,1992,26,16,3,4,4,33,0,0,0,12.54,0.78
Emily Fluke,BOS,F,2019-2020,2019,2020,1992,27,23,9,9,9,49,8,15,8,25.97,1.13
Emily Fluke,CTW,F,2017-2018,2017,2018,1992,25,16,4,2,5,38,0,0,0,12.9,0.81
Emily Janiga,MET,NA,2020-2021,2020,2021,1994,26,3,1,0,0,4,24,33,1,0.26,0.09
Emily Janiga,BUF,F,2018-2019,2018,2019,1994,24,16,4,0,2,30,0,0,0,8.32,0.52
Emily Janiga,BUF,F,2016-2017,2016,2017,1994,22,17,6,4,1,34,0,0,0,13.66,0.8
Emily Pfalzer,BUF,D,2015-2016,2015,2016,NA,NA,17,2,2,8,50,0,0,0,14.08,0.83
Emily Pfalzer,BUF,D,2018-2019,2018,2019,NA,NA,16,2,1,3,22,0,0,0,7.08,0.44
Emily Pfalzer,BUF,D,2016-2017,2016,2017,NA,NA,15,1,5,1,27,0,0,0,8.86,0.59
Emma Greco,CTW,D,2017-2018,2017,2018,1995,22,6,0,2,0,6,0,0,0,2.4,0.4
Emma Greco,TOR,NA,2020-2021,2020,2021,1995,25,6,0,0,1,6,0,1,2,0.85,0.14
Emma Ruggiero,BUF,F,2019-2020,2019,2020,1997,22,10,0,1,0,7,10,13,2,0.97,0.1
Emma Stauber,MIN,F,2018-2019,2018,2019,1993,25,15,1,1,3,22,0,0,0,6.08,0.41
Emma Stauber,MIN,NA,2020-2021,2020,2021,1993,27,4,0,1,0,3,0,0,5,0.45,0.11
Emma Stauber,MIN,D,2019-2020,2019,2020,1993,26,10,0,2,1,15,0,0,4,3.36,0.34
Emma Vlasic,CTW,NA,2020-2021,2020,2021,1996,24,4,1,2,1,10,45,34,1,5.52,1.38
Emma Vlasic,CTW,F,2019-2020,2019,2020,1996,23,24,9,0,0,67,288,209,7,23.34,0.97
Emma Woods,TOR,NA,2020-2021,2020,2021,1995,25,4,0,2,2,22,0,0,0,5.32,1.33
Erika Lawler,MET,F,2018-2019,2018,2019,1987,31,14,0,0,1,10,0,0,0,1.66,0.12
Erika Lawler,MET,F,2017-2018,2017,2018,1987,30,14,1,3,4,24,0,0,0,8.74,0.62
Erin Barley-Maloney,NYR,F,2015-2016,2015,2016,1989,26,0,0,0,0,0,0,0,0,0,NA
Erin Brand,CTW,F|D,2018-2019,2018,2019,1995,23,1,0,0,0,0,0,0,0,0,0
Erin Gehen,BUF,NA,2020-2021,2020,2021,1996,24,6,0,0,0,12,0,0,1,1.05,0.18
Erin Gehen,BUF,F,2019-2020,2019,2020,1996,23,24,7,6,3,48,4,12,10,16.8,0.7
Erin Hall,CTW,D,2019-2020,2019,2020,1994,25,15,0,0,2,6,0,0,3,1.47,0.1
Erin Zach,BUF,F,2015-2016,2015,2016,1991,24,14,1,3,1,17,0,0,0,6.06,0.43
